iter	Passed	Remaining
557	4444	3520
558	4451	3512
559	4459	3503
560	4466	3495
561	4474	3487
562	4482	3478
563	4489	3470
564	4496	3461
565	4504	3453
566	4511	3445
567	4518	3436
568	4526	3428
569	4534	3420
570	4544	3414
571	4552	3406
572	4559	3397
573	4567	3389
574	4575	3381
575	4582	3373
576	4589	3364
577	4597	3356
578	4604	3348
579	4612	3340
580	4619	3331
581	4626	3323
582	4635	3315
583	4642	3307
584	4650	3298
585	4657	3290
586	4664	3282
587	4672	3273
588	4679	3265
589	4686	3256
590	4694	3248
591	4701	3240
592	4709	3232
593	4716	3223
594	4724	3215
595	4731	3207
596	4738	3198
597	4744	3189
598	4752	3181
599	4760	3173
600	4767	3165
601	4776	3157
602	4783	3149
603	4791	3141
604	4798	3132
605	4805	3124
606	4813	3116
607	4820	3107
608	4827	3099
609	4834	3090
610	4841	3082
611	4849	3074
612	4856	3066
613	4864	3058
614	4871	3049
615	4879	3041
616	4886	3033
617	4894	3025
618	4901	3017
619	4909	3008
620	4916	3000
621	4923	2992
622	4932	2984
623	4939	2976
624	4947	2968
625	4954	2959
626	4961	2951
627	4968	2943
628	4975	2934
629	4982	2926
630	4990	2918
631	4997	2910
632	5005	2902
633	5012	2893
634	5020	2885
635	5028	2877
636	5035	2869
637	5043	2861
638	5050	2853
639	5059	2845
640	5067	2838
641	5075	2830
642	5083	2822
643	5090	2813
644	5097	2805
645	5105	2797
646	5112	2789
647	5120	2781
648	5128	2773
649	5135	2765
650	5143	2757
651	5150	2748
652	5157	2740
653	5164	2732
654	5171	2724
655	5178	2715
656	5186	2707
657	5193	2699
658	5202	2691
659	5209	2683
660	5218	2676
661	5226	2668
662	5233	2660
663	5241	2652
664	5249	2644
665	5256	2636
666	5263	2627
667	5270	2619
668	5278	2611
669	5285	2603
670	5292	2594
671	5300	2587
672	5307	2578
673	5314	2570
674	5322	2562
675	5330	2555
676	5338	2547
677	5346	2539
678	5353	2530
679	5360	2522
680	5367	2514
681	5375	2506
682	5382	2498
683	5389	2490
684	5397	2482
685	5405	2474
686	5414	2466
687	5421	2458
688	5429	2450
689	5437	2443
690	5445	2434
691	5452	2426
692	5459	2418
693	5466	2410
694	5473	2402
695	5480	2393
696	5488	2385
697	5496	2378
698	5504	2370
699	5516	2364
700	5523	2355
701	5530	2347
702	5538	2339
703	5545	2331
704	5553	2323
705	5560	2315
706	5567	2307
707	5575	2299
708	5582	2291
709	5590	2283
710	5597	2275
711	5605	2267
712	5613	2259
713	5621	2251
714	5629	2244
715	5637	2235
716	5644	2227
717	5652	2219
718	5659	2211
719	5667	2203
720	5674	2195
721	5682	2187
722	5689	2179
723	5696	2171
724	5704	2163
725	5711	2155
726	5719	2147
727	5727	2139
728	5734	2131
729	5742	2123
730	5749	2115
731	5756	2107
732	5763	2099
733	5771	2091
734	5778	2083
735	5785	2075
736	5792	2066
737	5799	2059
738	5807	2051
739	5814	2042
740	5822	2035
741	5830	2027
742	5838	2019
743	5845	2011
744	5852	2003
745	5860	1995
746	5867	1987
747	5874	1979
748	5881	1971
749	5889	1963
750	5897	1955
751	5904	1947
752	5912	1939
753	5919	1931
754	5927	1923
755	5935	1915
756	5942	1907
757	5950	1899
758	5958	1891
759	5965	1883
760	5973	1875
761	5980	1867
762	5988	1860
763	5995	1852
764	6001	1843
765	6009	1835
766	6017	1827
767	6024	1819
768	6031	1811
769	6039	1803
770	6046	1795
771	6055	1788
772	6063	1780
773	6070	1772
774	6078	1764
775	6086	1756
776	6093	1748
777	6101	1741
778	6109	1733
779	6118	1725
780	6125	1717
781	6133	1709
782	6140	1701
783	6148	1693
784	6155	1685
785	6162	1677
786	6169	1669
787	6177	1662
788	6185	1654
789	6192	1646
790	6199	1638
791	6207	1630
792	6214	1622
793	6222	1614
794	6229	1606
795	6236	1598
796	6243	1590
797	6251	1582
798	6261	1575
799	6269	1567
800	6277	1559
801	6284	1551
802	6291	1543
803	6299	1535
804	6306	1527
805	6314	1519
806	6322	1511
807	6329	1504
808	6336	1496
809	6344	1488
810	6353	1480
811	6361	1472
812	6368	1464
813	6375	1456
814	6383	1449
815	6391	1441
816	6398	1433
817	6405	1425
818	6413	1417
819	6420	1409
820	6428	1401
821	6434	1393
822	6442	1385
823	6449	1377
824	6456	1369
825	6463	1361
826	6471	1353
827	6479	1346
828	6487	1338
829	6494	1330
830	6503	1322
831	6510	1314
832	6519	1307
833	6527	1299
834	6534	1291
835	6541	1283
836	6549	1275
837	6556	1267
838	6564	1259
839	6572	1251
840	6579	1243
841	6586	1236
842	6594	1228
843	6601	1220
844	6609	1212
845	6616	1204
846	6624	1196
847	6631	1188
848	6639	1180
849	6646	1172
850	6654	1165
851	6661	1157
852	6668	1149
853	6676	1141
854	6683	1133
855	6691	1125
856	6698	1117
857	6706	1109
858	6713	1101
859	6720	1094
860	6727	1086
861	6734	1078
862	6741	1070
863	6749	1062
864	6756	1054
865	6763	1046
866	6771	1038
867	6778	1030
868	6785	1022
869	6793	1015
870	6800	1007
871	6807	999
872	6815	991
873	6822	983
874	6830	975
875	6837	967
876	6844	960
877	6852	952
878	6859	944
879	6867	936
880	6875	928
881	6882	920
882	6890	912
883	6897	905
884	6904	897
885	6912	889
886	6921	881
887	6928	873
888	6935	865
889	6942	858
890	6950	850
891	6957	842
892	6965	834
893	6972	826
894	6980	818
895	6987	811
896	6994	803
897	7002	795
898	7009	787
899	7017	779
900	7024	771
901	7031	763
902	7039	756
903	7046	748
904	7054	740
905	7061	732
906	7069	724
907	7076	717
908	7083	709
909	7091	701
910	7099	693
911	7106	685
912	7115	678
913	7122	670
914	7130	662
915	7137	654
916	7145	646
917	7152	638
918	7159	631
919	7167	623
920	7174	615
921	7181	607
922	7189	599
923	7196	591
924	7204	584
925	7211	576
926	7218	568
927	7226	560
928	7233	552
929	7240	544
930	7247	537
931	7255	529
932	7263	521
933	7270	513
934	7277	505
935	7285	498
936	7292	490
937	7299	482
938	7307	474
939	7315	466
940	7322	459
941	7330	451
942	7338	443
943	7345	435
944	7352	427
945	7360	420
946	7367	412
947	7375	404
948	7382	396
949	7389	388
950	7397	381
951	7405	373
952	7412	365
953	7419	357
954	7426	349
955	7434	342
956	7442	334
957	7449	326
958	7456	318
959	7464	311
960	7472	303
961	7480	295
962	7488	287
963	7494	279
964	7502	272
965	7509	264
966	7516	256
967	7524	248
968	7531	240
969	7540	233
970	7547	225
971	7555	217
972	7562	209
973	7569	202
974	7578	194
975	7586	186
976	7594	178
977	7601	170
978	7608	163
979	7615	155
980	7622	147
981	7630	139
982	7637	132
983	7644	124
984	7652	116
985	7659	108
986	7666	100
987	7674	93
988	7680	85
989	7688	77
990	7696	69
991	7704	62
992	7711	54
993	7718	46
994	7726	38
995	7733	31
996	7740	23
997	7747	15
998	7756	7
999	7763	0
